srno,address,categories,city,country,latitude,longitude,name,postalCode,province,cleaned_name,is_tourist_province,rest_per_km2_province,rest_per_1000people_province,api_call_made,schools,university,hospital,park,offices,mall,all_lat_long
7453,10400 Philips Hwy,Fast Food Restaurant,Jacksonville,US,30.179783,-81.554069,Taco Bell,32256,FL,tacobell,1,0.0062928856,0.0410341642,True,0,1,0,0,4,23,"[[ 30.18388276 -81.55399454]
 [ 30.18177975 -81.55553717]
 [ 30.1801     -81.55096   ]
 [ 30.180136   -81.550387  ]
 [ 30.18461425 -81.5533914 ]
 [ 30.1836534  -81.55392141]
 [ 30.184573   -81.55452   ]
 [ 30.18378649 -81.55398918]
 [ 30.183672   -81.553724  ]
 [ 30.18467893 -81.55389277]
 [ 30.1826556  -81.5536885 ]
 [ 30.18139142 -81.55382314]
 [ 30.1837539  -81.55383471]
 [ 30.183514   -81.554517  ]
 [ 30.18442464 -81.55399616]
 [ 30.18347811 -81.55387259]
 [ 30.18361883 -81.55371338]
 [ 30.184439   -81.554024  ]
 [ 30.18465146 -81.55395376]
 [ 30.184445   -81.553881  ]
 [ 30.18388276 -81.55399454]
 [ 30.18450978 -81.55390348]
 [ 30.18361204 -81.55395018]
 [ 30.1849439  -81.55396517]
 [ 30.18468453 -81.55413607]
 [ 30.18383012 -81.55394649]
 [ 30.18499191 -81.55396256]
 [ 30.18469317 -81.55400894]]"
7454,2958 NW Federal Hwy,Fast Food Restaurant and Mexican Restaurant,Jensen Beach,US,27.241265,-80.270973,Taco Bell,34957,FL,tacobell,1,0.0062928856,0.0410341642,True,5,0,0,4,5,13,"[[ 27.24326562 -80.26862489]
 [ 27.24091116 -80.2666434 ]
 [ 27.24202044 -80.26704623]
 [ 27.2395861  -80.26596837]
 [ 27.24306926 -80.26770115]
 [ 27.243592   -80.269629  ]
 [ 27.24105597 -80.26995614]
 [ 27.239988   -80.267032  ]
 [ 27.24177606 -80.26843436]
 [ 27.24116707 -80.27121445]
 [ 27.24105597 -80.26995614]
 [ 27.24058668 -80.26698635]
 [ 27.23728752 -80.27365112]
 [ 27.23831534 -80.26624739]
 [ 27.240406   -80.275297  ]
 [ 27.24048105 -80.27439491]
 [ 27.24062435 -80.27495011]
 [ 27.241016   -80.273721  ]
 [ 27.2407508  -80.2750124 ]
 [ 27.239581   -80.273835  ]
 [ 27.241619   -80.274782  ]
 [ 27.24214755 -80.27465026]
 [ 27.24207723 -80.27473927]
 [ 27.241481   -80.275003  ]
 [ 27.2434377  -80.2751917 ]
 [ 27.24102389 -80.27473119]
 [ 27.24127013 -80.27476692]]"
7455,7331 103rd St,Fast Food Restaurant and Mexican Restaurant,Jacksonville,US,30.248688,-81.767454,Taco Bell,32210,FL,tacobell,1,0.0062928856,0.0410341642,True,2,0,2,0,1,0,"[[ 30.246577   -81.766777  ]
 [ 30.24694115 -81.76467395]
 [ 30.24797109 -81.76412481]
 [ 30.24931594 -81.76119431]
 [ 30.24962068 -81.772731  ]]"
7456,6380 Hypoluxo Rd,Fast Food Restaurant and Mexican Restaurant,Lake Worth,US,26.572105,-80.144299,Taco Bell,33463,FL,tacobell,1,0.0062928856,0.0410341642,True,0,0,2,1,0,0,"[[ 26.5718826  -80.1476245 ]
 [ 26.56868463 -80.14708757]
 [ 26.573786   -80.14379382]]"
7457,3330 S Congress Ave,Fast Food,Lake Worth,US,26.627255,-80.088649,Taco Bell,33461,FL,tacobell,1,0.0062928856,0.0410341642,True,0,0,0,0,4,0,"[[ 26.62571042 -80.08821627]
 [ 26.6325418  -80.0895466 ]
 [ 26.631129   -80.089034  ]
 [ 26.6282804  -80.0837892 ]]"
7458,1350 NW 87th Ave,Fast Food Restaurant,Miami,US,25.785753,-80.336772,Taco Bell,33172,FL,tacobell,1,0.0062928856,0.0410341642,True,0,0,0,1,6,0,"[[ 25.78454451 -80.33696337]
 [ 25.78702462 -80.33742002]
 [ 25.7869265  -80.3339235 ]
 [ 25.787235   -80.337059  ]
 [ 25.78531803 -80.33910582]
 [ 25.78832162 -80.33662614]
 [ 25.7869304  -80.3338019 ]]"
7459,2500 N Main St,,Santa Ana,US,33.77035,-117.86794,Taco Bell,92705,CA,tacobell,1,0.003313786,0.0337992891,True,4,1,1,4,15,4,"[[  33.76843401 -117.86909914]
 [  33.77259607 -117.86738625]
 [  33.76526516 -117.86887649]
 [  33.76528941 -117.86865099]
 [  33.77482607 -117.86939495]
 [  33.77354188 -117.86594409]
 [  33.76884421 -117.87262257]
 [  33.77364292 -117.86371342]
 [  33.7712352  -117.87056812]
 [  33.77582911 -117.86376994]
 [  33.773937   -117.86691   ]
 [  33.77250957 -117.86672805]
 [  33.7760664  -117.8636353 ]
 [  33.76729813 -117.86845642]
 [  33.77215642 -117.86723366]
 [  33.772307   -117.867454  ]
 [  33.76851681 -117.86890268]
 [  33.77290466 -117.86787841]
 [  33.772344   -117.8667195 ]
 [  33.772246   -117.86631   ]
 [  33.773228   -117.867607  ]
 [  33.7732901  -117.8678354 ]
 [  33.77447435 -117.86725044]
 [  33.76505626 -117.86882758]
 [  33.77626688 -117.86364555]
 [  33.77447559 -117.8697411 ]
 [  33.77457149 -117.86973832]
 [  33.77496668 -117.86985468]
 [  33.77485429 -117.8697661 ]]"
7460,2466 N State Road 7,Fast Food Restaurant,Pompano Beach,US,26.258699,-80.201426,Taco Bell,33063,FL,tacobell,1,0.0062928856,0.0410341642,True,1,0,1,2,1,0,"[[ 26.259286   -80.201624  ]
 [ 26.26307093 -80.20297945]
 [ 26.25496983 -80.20351084]
 [ 26.26303409 -80.20313495]
 [ 26.26148198 -80.20305868]]"
7461,4689 Highway 90,Fast Food,Marianna,US,30.767907,-85.204358,Taco Bell,32446,FL,tacobell,1,0.0062928856,0.0410341642,True,0,0,0,0,0,0,
7462,1827 N Michigan St,,Plymouth,US,41.35686,-86.31194,Taco Bell,46563,IN,tacobell,0,0.005410124,0.0750163108,True,0,0,0,3,0,0,"[[ 41.359986   -86.30982   ]
 [ 41.35365212 -86.30872574]
 [ 41.35509127 -86.31107389]]"
